"initpop","tau_I","ts","mean.propinf.boot","lowCI95.propinf.boot","highCI95.propinf.boot","min.propinf","max.propinf","mean.inf","min.inf","max.inf","mean.curpop","min.curpop","max.curpop","mean.alltimepop","min.alltimepop","max.alltimepop","zeroevent","N"
2100000,0.1,1825,0.54385659606161,0.543486153684551,0.544192523865049,0.53509427534519,0.555866877189048,1251491.196,1231436,1279018,2217130.58,2215302,2218916,2301142.016,2299587,2302646,0,500
2200000,0.1,1825,0.543897445326484,0.543522436894782,0.544240853969472,0.533523049143915,0.553659362100317,1311185.36,1286498,1334824,2322706.734,2320668,2324753,2410721.622,2408920,2412054,0,500
2300000,0.1,1825,0.544175156444231,0.54377992327317,0.544525214739685,0.538204533113002,0.554687840948494,1371480.95,1356112,1398114,2428270.126,2426514,2430965,2520293.282,2518466,2522360,0,500
2400000,0.1,1825,0.544104289409801,0.543750749533988,0.544465130284158,0.538242079234463,0.5539441763952,1430926.764,1415518,1457051,2533848.664,2531877,2535470,2629875.966,2628531,2631370,0,500
2500000,0.1,1825,0.544082317568734,0.543726419803447,0.544499547112758,0.537811914763464,0.554851972663791,1490489.322,1472728,1520351,2639425.648,2637580,2641254,2739455.382,2738108,2741088,0,500
10000,0.3,1825,0.0304726410982963,0.0268144048498459,0.0339769154589374,9.03342366757001e-05,0.15407772304324,333.88679245283,1,1689,10567.8144654088,10435,10690,10957.5849056604,10873,11070,318,318
20000,0.3,1825,0.0421921120494898,0.0376948178508747,0.0465834331362188,4.53206435531385e-05,0.244278629600983,924.70159453303,1,5369,21138.1047835991,20956,21315,21916.6309794989,21766,22074,439,439
30000,0.3,1825,0.0726168695580423,0.067031325976951,0.0779657417963788,3.03573054855651e-05,0.228779378316907,2387.40983606557,1,7544,31703.2889344262,31478,31885,32873.4774590164,32699,33053,480,488
40000,0.3,1825,0.114813175680457,0.107461807672601,0.121657925246923,2.2806577416927e-05,0.243170520363023,5032.17575757576,1,10664,42267.6282828283,42033,42497,43830.5050505051,43615,44036,435,495
50000,0.3,1825,0.149503825240322,0.143406761479278,0.155389274125153,1.82238988209137e-05,0.230567015955311,8191.43574297189,1,12630,52832.7570281124,52574,53076,54790.8212851406,54556,55024,312,498
60000,0.3,1825,0.175864620801285,0.170153951540733,0.18129654785191,3.04316732855556e-05,0.235214501878127,11562.6666666667,2,15467,63395.8835341365,63114,63699,65748.7228915663,65516,66011,234,498
70000,0.3,1825,0.191532487299777,0.187032561146351,0.195822669654654,0.00181239731921663,0.230148503898065,14692.118,139,17683,73959.8,73668,74247,76706.98,76431,76962,127,500
80000,0.3,1825,0.205238257399847,0.201761086854686,0.208215175337363,0.00167821629582273,0.232670104504176,17992.19,147,20456,84522.254,84216,84859,87665.166,87394,87954,79,500
90000,0.3,1825,0.209007055672644,0.206222858050128,0.211423194247763,3.03637578186676e-05,0.230047806096038,20612.934,3,22665,95088.362,94722,95423,98623.556,98300,98941,47,500
1e+05,0.3,1825,0.213035492898345,0.210955268754897,0.214833667630835,0.00328395241917828,0.23152516081938,23344.632,360,25374,105652.25,105299,106041,109581.156,109261,109901,30,500
150000,0.3,1825,0.220033068225455,0.219642726824789,0.220414905385114,0.20728736556193,0.233116463808375,36167.398,34037,38267,158475.498,158048,158935,164372.67,163994,164796,0,500
2e+05,0.3,1825,0.222600088984059,0.222229551133521,0.222977839861489,0.210449232116948,0.23609071924273,48785.984,46125,51778,211295.992,210801,211824,219164.276,218718,219633,0,500
250000,0.3,1825,0.223935291791746,0.223596099504424,0.224263813270613,0.212931751521254,0.236697428558912,61348.276,58368,64839,264120.204,263560,264725,273955.35,273456,274467,0,500
3e+05,0.3,1825,0.225319300371369,0.22498936496249,0.225633517308089,0.213204256963824,0.237152790462621,74073.198,70057,77899,316943.142,316300,317560,328747.7,328198,329299,0,500
350000,0.3,1825,0.226009757131884,0.225696343012244,0.226312654347554,0.214331365546602,0.241105884010552,86683.548,82162,92406,369764.998,369084,370409,383539.048,382952,384170,0,500
4e+05,0.3,1825,0.226694445447791,0.226399429158649,0.226984037474963,0.217230104113937,0.236667632821576,99366.98,95268,103699,422588.02,421877,423352,438330.112,437676,438998,0,500
450000,0.3,1825,0.227654697766211,0.227391178039183,0.227949009131904,0.218035624070493,0.236344437562823,112261.58,107463,116402,475412.198,474669,476149,493122.064,492455,493821,0,500
5e+05,0.3,1825,0.228085431338249,0.227798470244052,0.228392109440723,0.217305571581938,0.236875938019159,124971.086,119020,129894,528235.422,527418,529053,547913.488,547217,548640,0,500
550000,0.3,1825,0.228122889749356,0.227851344842297,0.228381795796727,0.218422219307232,0.236354608303732,137490.852,131545,142324,581057.64,580222,581904,602705.344,601957,603494,0,500
6e+05,0.3,1825,0.228875066717011,0.228624142604048,0.22914868910347,0.22079726131609,0.237095540083573,150483.864,145119,155864,633877.326,633071,634772,657493.242,656848,658342,0,500
650000,0.3,1825,0.228614055213486,0.228374086361487,0.228857611415468,0.220490952447749,0.235312130827915,162837.424,157188,167518,686696.28,685641,687637,712280.942,711344,713127,0,500
7e+05,0.3,1825,0.229054066280217,0.228810972495787,0.229269131598954,0.218466414040062,0.23863261417596,175702.976,167652,182978,739527.414,738332,740590,767080.96,766014,767969,0,500
750000,0.3,1825,0.229267581151487,0.229042311640844,0.229490577874897,0.219229295294869,0.236390497260697,188427.188,180201,194252,792342.582,791458,793304,821865.956,820976,822714,0,500
8e+05,0.3,1825,0.22949978447036,0.229295648418976,0.229697204673958,0.2210539526075,0.235280372500185,201195.272,193756,206415,845177.074,843958,846037,876668.762,875848,877407,0,500
850000,0.3,1825,0.229587629146325,0.229362396564507,0.229797311628138,0.221375939316755,0.236812170277428,213851.068,206159,220672,897996.12,896777,899130,931457.514,930464,932279,0,500
9e+05,0.3,1825,0.229619528853468,0.229433486011261,0.229791752055427,0.22302241462905,0.237916225653004,226463.516,219872,234672,950826.252,949527,952220,986255.346,985238,987374,0,500
950000,0.3,1825,0.229730915264427,0.229530316073648,0.229934293186122,0.221152405215046,0.236761150867703,239157.102,230217,246515,1003634.05,1002671,1004706,1041031.452,1040105,1041894,0,500
1e+06,0.3,1825,0.22990875120063,0.229739754579607,0.230101149259551,0.222148297822242,0.236503966294934,251941.484,243411,259175,1056465.58,1055492,1057690,1095832.582,1094850,1096801,0,500
1100000,0.3,1825,0.22997757750286,0.229796789849944,0.230138396040701,0.222832360588178,0.236287339900742,277214.58,268515,284808,1162093.83,1160935,1163123,1205398.664,1204423,1206248,0,500
1200000,0.3,1825,0.229927749844045,0.229749750376392,0.230102162403951,0.22281941440534,0.236077408165283,302351.478,293100,310345,1267743.216,1266400,1269111,1314984.71,1314015,1316071,0,500
1300000,0.3,1825,0.230004534606596,0.229846084684227,0.230168192179921,0.224947020625279,0.236103992754488,327654.696,320462,336290,1373379.624,1372053,1374614,1424557.618,1423142,1425768,0,500
1400000,0.3,1825,0.229949176380903,0.229782540379018,0.230100533679995,0.223672630696479,0.236044890021013,352773.378,343108,362044,1479020.27,1477689,1480225,1534136.24,1533112,1535203,0,500
1500000,0.3,1825,0.230222837118361,0.230065272161989,0.230383227390804,0.225570665149962,0.237153912102208,378423.012,370819,389757,1584667.44,1583346,1586058,1643724.966,1642491,1644988,0,500
1600000,0.3,1825,0.230113458960279,0.229968208195452,0.230266201192965,0.224720889139345,0.236536553092954,403455.428,393991,414729,1690292.078,1689032,1691670,1753289.338,1752115,1754444,0,500
1700000,0.3,1825,0.230133854455475,0.229996270279496,0.230264532394359,0.226077640114954,0.236197764590705,428709.772,421184,440061,1795923.232,1794635,1797616,1862871.38,1861670,1864127,0,500
1800000,0.3,1825,0.230204366176229,0.230059050729594,0.230349226027876,0.225086082329652,0.236625301515235,454066.474,443793,466556,1901565.87,1899873,1903057,1972449.672,1970881,1973566,0,500
1900000,0.3,1825,0.230168686387841,0.230028393461268,0.230300259141519,0.22568894436413,0.236004781011238,479221.434,469751,491260,2007223.824,2005422,2008987,2082044.246,2080483,2083590,0,500
2e+06,0.3,1825,0.23013660404993,0.230005379347269,0.23026907858016,0.226006819210607,0.236453536863353,504375.616,495284,518239,2112881.894,2110858,2114355,2191635.906,2190004,2192813,0,500
2100000,0.3,1825,0.230185981382893,0.230051022366834,0.230312629071545,0.22539014236736,0.23479666443264,529708.104,518627,540277,2218534.328,2216827,2220126,2301217.894,2299835,2302592,0,500
2200000,0.3,1825,0.230066901249193,0.229929438420082,0.230202410993463,0.22559802718837,0.236355617184294,554644.954,543957,569648,2324161.586,2322598,2325498,2410798.452,2409493,2411976,0,500
2300000,0.3,1825,0.230191457242499,0.230053818415095,0.230322175153606,0.225779599866466,0.234380378862271,580168.458,568786,590977,2429803.25,2428076,2431433,2520373.588,2518867,2521968,0,500
2400000,0.3,1825,0.230129140097047,0.230012796070618,0.230251959007965,0.226620365968226,0.23577858567672,605229.914,595828,620196,2535454.416,2533708,2537222,2629957.782,2628385,2631554,0,500
2500000,0.3,1825,0.230050602445315,0.229933457086271,0.230180741979243,0.226398289664215,0.235384568206809,630232.72,620236,644772,2641098.88,2639433,2642646,2739539.656,2738184,2741493,0,500
10000,0.5,1825,0.00842377491091455,0.00725039516035503,0.00954080452279916,9.03342366757001e-05,0.0562494302124168,92.311320754717,1,617,10568.3490566038,10449,10690,10957.6132075472,10873,11070,318,318
20000,0.5,1825,0.0100912904785116,0.00902943200304011,0.0112718788975734,4.53802868034126e-05,0.0629568713450292,221.127562642369,1,1378,21139.5216400911,20971,21315,21916.728929385,21768,22074,439,439
30000,0.5,1825,0.0153356612178709,0.0135494332748007,0.0172196716815888,3.03591487294696e-05,0.135112111716207,504.151639344262,1,4441,31707.4590163934,31478,31896,32873.7827868852,32699,33054,487,488
40000,0.5,1825,0.0254445834494244,0.0226660915982529,0.0281869174890096,2.2766596849103e-05,0.146075100886893,1115.15555555556,1,6407,42275.4141414141,42046,42520,43830.9737373737,43617,44037,494,495
50000,0.5,1825,0.0379203693000771,0.03442837269316,0.0414926715168685,1.82238988209137e-05,0.145828779599271,2077.82329317269,1,8006,52844.3373493976,52586,53087,54791.4658634538,54558,55026,485,498
60000,0.5,1825,0.0599235704004439,0.0553867437103269,0.0646012000736838,3.04316732855556e-05,0.154756479202747,3940.13253012048,2,10187,63410.5381526104,63135,63682,65749.4036144578,65518,66011,445,498
70000,0.5,1825,0.0721880995478524,0.0678862208490558,0.0762846964546147,7.83146683373796e-05,0.152633366424578,5537.076,6,11685,73977.112,73647,74255,76707.81,76437,76964,389,500
80000,0.5,1825,0.0980348710986677,0.0936497246008873,0.102786637200238,0.000833875923831717,0.154636823071746,8594.498,73,13555,84540.886,84229,84912,87666.098,87398,87955,291,500
90000,0.5,1825,0.105794515308063,0.101528498588489,0.110345709351219,3.03637578186676e-05,0.152168846828043,10434.108,3,15018,95108.054,94760,95482,98624.414,98303,98941,241,500
1e+05,0.5,1825,0.118563135704109,0.114971720390735,0.122285405149485,0.000665730388312328,0.153396746572216,12992.724,73,16804,105671.506,105313,106054,109582.064,109261,109901,183,500
150000,0.5,1825,0.141657781872703,0.139820545023517,0.143190764880634,0.00147218065238286,0.154589577915949,23284.754,242,25385,158500.354,158057,158960,164373.92,163995,164797,21,500
2e+05,0.5,1825,0.145957372981564,0.14497439716334,0.146656880107585,0.0022093899071052,0.155391023942851,31988.914,484,34021,211330.048,210817,211845,219165.892,218719,219633,2,500
250000,0.5,1825,0.14755609818455,0.147321031308224,0.147797490341454,0.140052442061747,0.154269881945813,40424.07,38350,42261,264161.932,263588,264758,273957.316,273458,274469,0,500
3e+05,0.5,1825,0.148326028934329,0.148125366532849,0.148560636346112,0.141087172869677,0.155090537631793,48762.186,46358,51013,316993.484,316397,317647,328750.048,328198,329303,0,500
350000,0.5,1825,0.148789454953005,0.148567291262373,0.149004864888733,0.141908450025652,0.155568351171928,57066.968,54491,59709,369824.466,369159,370479,383541.786,382961,384172,0,500
4e+05,0.5,1825,0.149355235435633,0.149169189996072,0.149532784608415,0.142459261153244,0.156053723674875,65467.38,62402,68401,422655.276,421953,423373,438333.332,437685,439002,0,500
450000,0.5,1825,0.14978248535838,0.14959845245514,0.149977667714894,0.143219964216309,0.156572406701699,73861.542,70602,77201,475486.25,474732,476218,493125.494,492456,493821,0,500
5e+05,0.5,1825,0.149962698984288,0.149766325404279,0.150137457096136,0.143597558193647,0.156915824473903,82167.188,78685,86079,528316.306,527489,529124,547917.498,547217,548643,0,500
550000,0.5,1825,0.150427234267921,0.150259436348311,0.150598442619059,0.146237229873883,0.156879232196787,90663.958,88127,94593,581147.12,580301,581980,602709.72,601963,603498,0,500
6e+05,0.5,1825,0.150395392401327,0.150228195730582,0.150563836708036,0.144029139951494,0.156640081504178,98884.728,94662,103012,633975.842,633237,635027,657498.33,656761,658285,0,500
650000,0.5,1825,0.150529930644326,0.150373962821823,0.150668313494099,0.146013730413948,0.155494921168279,107220.448,104025,110785,686803.59,685923,687780,712286.702,711583,713171,0,500
7e+05,0.5,1825,0.150714715319375,0.150552561868186,0.150882623388449,0.145923356574809,0.155283849395502,115611.072,111947,119167,739642.71,738537,740730,767085.908,766034,768061,0,500
750000,0.5,1825,0.150759347011787,0.150597622498266,0.150929766081389,0.145808397800808,0.15676125740106,123905.14,119872,128780,792471.55,791583,793479,821874.018,820980,822768,0,500
8e+05,0.5,1825,0.150941244492595,0.150797928192489,0.151075260478412,0.145507293332755,0.155540328226224,132326.238,127545,136421,845311.55,844348,846207,876673.878,875852,877494,0,500
850000,0.5,1825,0.150933615159373,0.150789011097499,0.151086378090532,0.144932436421325,0.155269278594945,140589.278,134984,144597,898139.798,896844,899208,931464.596,930459,932413,0,500
9e+05,0.5,1825,0.151108542873493,0.150962076089299,0.151252935968194,0.146069329872079,0.155677926754349,149032.784,144047,153566,950979.668,949780,952399,986263.368,985256,987432,0,500
950000,0.5,1825,0.151085798420678,0.150941219570107,0.151223371318486,0.146305646289799,0.157421368547419,157286.096,152333,163915,1003795.462,1002946,1004874,1041038.364,1040161,1041934,0,500
