"initpop","epsilon","ts","mean.propinf.boot","lowCI95.propinf.boot","highCI95.propinf.boot","min.propinf","max.propinf","mean.inf","min.inf","max.inf","mean.curpop","min.curpop","max.curpop","mean.alltimepop","min.alltimepop","max.alltimepop","zeroevent","N"
50000,0.65,1825,0.401593498076155,0.397295604725384,0.405231653861901,1.82238988209137e-05,0.450496133080403,22002.9518072289,1,24698,52804.5301204819,52573,53021,54788.9297188755,54549,55020,94,498
60000,0.65,1825,0.416813949322822,0.413291101107434,0.419606066390522,3.03762093528349e-05,0.456400121617513,27403.813253012,2,30022,63361.2730923695,63115,63638,65746.5040160643,65509,66008,60,498
70000,0.65,1825,0.417814603686558,0.416651089730997,0.418915447546456,0.338009804944195,0.446833478935496,32048.23,25924,34269,73921.4,73604,74208,76704.3,76428,76961,24,500
80000,0.65,1825,0.424784660556952,0.423803173677099,0.425762916292998,0.347185277362346,0.457425471784119,37237.554,30411,40140,84481.354,84172,84821,87662.208,87392,87952,17,500
90000,0.65,1825,0.424709204789304,0.423646093208724,0.425789629750725,0.306972220533706,0.459333928281681,41884.812,30300,45294,95041.768,94693,95388,98620.016,98298,98934,7,500
1e+05,0.65,1825,0.426995339126329,0.426202153846227,0.427831824220386,0.401295561333881,0.455985337564285,46789.112,43984,50007,105601.328,105261,105950,109577.55,109256,109893,2,500
150000,0.65,1825,0.432740499185529,0.432028932618471,0.433434598074608,0.403782839685737,0.458568577825367,71128.278,66350,75374,158395.912,157987,158809,164366.97,163992,164791,0,500
2e+05,0.65,1825,0.43736957479714,0.436705555430804,0.437978683636822,0.413916874563872,0.459203408230475,95852.578,90755,100673,211190.378,210695,211697,219156.87,218712,219619,0,500
250000,0.65,1825,0.438893982673378,0.438223230084798,0.439582620958961,0.419103121656607,0.45657566425187,120233.472,114776,124978,263989.388,263408,264525,273946.302,273445,274461,0,500
3e+05,0.65,1825,0.440854745605375,0.440310453451866,0.441432604554157,0.417894099498885,0.460483929787027,144925.436,137348,151525,316797.138,316186,317432,328737.262,328188,329291,0,500
350000,0.65,1825,0.441927774152676,0.441392496815752,0.442498690096126,0.425648775403856,0.457485445221105,169491.318,163129,175469,369601.732,368943,370267,383527.338,382938,384165,0,500
