"initpop","d","ts","mean.propinf.boot","lowCI95.propinf.boot","highCI95.propinf.boot","min.propinf","max.propinf","mean.inf","min.inf","max.inf","mean.curpop","min.curpop","max.curpop","mean.alltimepop","min.alltimepop","max.alltimepop","zeroevent","N"
9e+05,2e-05,1825,0.229795035224239,0.22960300617804,0.229988459220549,0.222318424171517,0.236249356357164,226649.786,219284,233077,952103.048,951117,953142,986312.856,985493,987196,0,500
950000,2e-05,1825,0.229831312769742,0.229652158090471,0.230017934388108,0.221679766320118,0.23793956690738,239275.254,230711,247625,1004982.766,1004030,1006083,1041090.854,1040203,1041975,0,500
1e+06,2e-05,1825,0.229970588726108,0.229799440054206,0.230144385353788,0.223937649652514,0.238763362820548,252024.582,245407,261539,1057888.94,1056904,1058946,1095899.418,1094842,1096889,0,500
1100000,2e-05,1825,0.230098794486587,0.229901556570575,0.230284713263778,0.221475591393835,0.237092653267357,277376.82,266970,285906,1163656.524,1162489,1164616,1205468.146,1204613,1206373,0,500
1200000,2e-05,1825,0.230023509933556,0.229852744443327,0.230203530547078,0.223202271591491,0.237959228666892,302495.676,293438,313008,1269451.326,1267957,1270681,1315064.298,1313977,1315956,0,500
1300000,2e-05,1825,0.230041994008428,0.229873559272823,0.230202909166572,0.225011474698815,0.235836243353747,327727.326,320607,335990,1375228.258,1373968,1376471,1424641.13,1423513,1425695,0,500
1400000,2e-05,1825,0.230235686099257,0.230065787911655,0.23040425723989,0.221629043888966,0.235422380601828,353234.266,339920,361371,1481012.992,1479631,1482426,1534229.08,1533033,1535293,0,500
1500000,2e-05,1825,0.230295900459057,0.230132909270955,0.230458752570888,0.223679664002959,0.235280702351877,378564.698,367690,386873,1586800.494,1585215,1588287,1643818.46,1642552,1644988,0,500
1600000,2e-05,1825,0.230387649718041,0.230230604174036,0.230550285650152,0.225346530136217,0.236446771661356,403960.096,395135,414621,1692574.068,1691266,1694349,1753392.978,1752223,1754712,0,500
1700000,2e-05,1825,0.23024904375318,0.230110181005635,0.230382807398912,0.225941809001355,0.236029258636644,428949.028,420806,439748,1798342.432,1797016,1799674,1862978.308,1861719,1864391,0,500
1800000,2e-05,1825,0.230197563080301,0.230065685057658,0.230334956150673,0.224475507103171,0.23571267052063,454081.646,442762,464906,1904129.684,1902428,1905903,1972573.534,1971436,1973835,0,500
1900000,2e-05,1825,0.230268931879568,0.230130816572548,0.230402158136847,0.226151980986526,0.237701294570224,479458.278,470824,494693,2009932.626,2008492,2011217,2082166.738,2080949,2083421,0,500
2e+06,2e-05,1825,0.230343981519605,0.230214021946789,0.230476071998864,0.226154225088716,0.237452539737065,504860.714,495816,520519,2115718.566,2113955,2117719,2191768.752,2190446,2193622,0,500
2100000,2e-05,1825,0.230325057697426,0.230195913534852,0.230448499566113,0.226040086341953,0.2358275225372,530058.596,520137,542816,2221512.87,2219646,2222925,2301350.33,2300040,2302743,0,500
2200000,2e-05,1825,0.230337757612651,0.230206061866861,0.230470407944982,0.226390486609146,0.235194673150796,555331.13,545923,567203,2327301.126,2325583,2329070,2410942.494,2409388,2412307,0,500
2300000,2e-05,1825,0.230179378089531,0.230053139532513,0.23030853390393,0.226214430118065,0.235830121774685,580174.656,570109,594307,2433079.51,2431443,2435149,2520533.014,2519028,2522239,0,500
2400000,2e-05,1825,0.230246157212319,0.230112817714649,0.230385907179364,0.225794445534271,0.235884469372344,605573.102,593927,620667,2538860.73,2537054,2540732,2630111.662,2628606,2631270,0,500
2500000,2e-05,1825,0.230284458310883,0.2301521037965,0.230411340479894,0.226537607829381,0.235499795224235,630909.688,620629,645206,2644647.548,2642955,2646623,2739697.45,2738289,2741531,0,500
10000,2e-04,1825,0.0316448607407159,0.0280464512081066,0.0355091716028963,9.1734703238235e-05,0.165290023201856,342.37106918239,1,1781,7622.20125786163,7407,7753,10816.286163522,10722,10901,318,318
20000,2e-04,1825,0.0378658912169279,0.0343067559964444,0.0413644510566766,4.5985468591925e-05,0.161111367944154,819.050113895216,1,3485,15243.30523918,14945,15475,21631.874715262,21513,21750,439,439
30000,2e-04,1825,0.0616383507941054,0.0569215088597109,0.0665198685268704,3.07285745014289e-05,0.200203345965431,2000,1,6498,22862.8647540984,22495,23186,32448.3504098361,32306,32619,487,488
40000,2e-04,1825,0.0884226004404271,0.0830976865532658,0.093558502974315,2.31219218941478e-05,0.199676150821189,3825.31313131313,1,8632,30480.1232323232,30116,30788,43263.3232323232,43086,43444,477,495
50000,2e-04,1825,0.115561666365356,0.11052765871633,0.120528019901196,1.8470631695604e-05,0.201944984717977,6249.69076305221,1,10902,38097.7550200803,37665,38484,54079.8554216867,53872,54306,429,498
60000,2e-04,1825,0.13857121982685,0.133888790675858,0.143176590680056,4.61936437546194e-05,0.19914888368077,8992.94779116466,3,12916,45712.7369477912,45267,46101,64895.6084337349,64658,65140,337,498
70000,2e-04,1825,0.158250592215864,0.154144139109309,0.162047009529791,0.00174289637688814,0.200655503720248,11982.02,132,15183,53329.376,52837,53757,75712.966,75489,75970,244,500
80000,2e-04,1825,0.164237864656447,0.160429228568704,0.167831924377661,0.00149100197644448,0.198359708906088,14211.012,129,17172,60947.344,60467,61375,86527.504,86254,86807,198,500
90000,2e-04,1825,0.174345651686061,0.171550886901317,0.176955071974948,0.00178694299241063,0.199405404849345,16971.452,174,19384,68561.372,67994,69013,97344.044,97049,97621,127,500
1e+05,2e-04,1825,0.178679621536306,0.176677582837122,0.180639395390645,0.00270782311353449,0.200891824632492,19326.146,293,21715,76178.62,75603,76666,108160.7,107875,108459,90,500
150000,2e-04,1825,0.187871538146935,0.18700492012376,0.18860550004599,0.0667439151417284,0.20342785300045,30480.558,10829,33008,114264.52,113564,114863,162241.576,161902,162625,12,500
2e+05,2e-04,1825,0.190846523623227,0.190413333220685,0.191248277076393,0.124838809571129,0.201409752715507,41284.22,27010,43575,152340.226,151657,153063,216321.694,215927,216753,2,500
250000,2e-04,1825,0.192485176588622,0.192165869272612,0.192814592284773,0.181557111969397,0.203454369348387,52048.462,49123,55034,190411.886,189598,191078,270402.44,269932,270903,0,500
3e+05,2e-04,1825,0.193290123593849,0.193000938125489,0.193590501216207,0.183685171027646,0.20440543297695,62719.408,59586,66322,228495.636,227595,229185,324483.276,323946,325034,0,500
350000,2e-04,1825,0.194281242255489,0.193996159141628,0.194563119628341,0.186110890984494,0.203357139271343,73547.904,70456,76966,266588.438,265785,267401,378564.218,378047,379162,0,500
4e+05,2e-04,1825,0.194788643465011,0.194511467440338,0.195056500238027,0.186842196511749,0.205430004462954,84274.07,80827,88838,304674.732,303686,305978,432643.644,432060,433289,0,500
450000,2e-04,1825,0.195538782952319,0.195273706193394,0.19581249386927,0.187113321486162,0.203849648294093,95173.662,90973,99170,342755.282,341708,343823,486725.22,486126,487393,0,500
5e+05,2e-04,1825,0.195726216437435,0.19547630797986,0.195964468987931,0.1885607907877,0.204255996210972,105849.716,101998,110402,380830.868,379613,381999,540805.116,540197,541500,0,500
550000,2e-04,1825,0.196011612191078,0.195749939176129,0.196277851383433,0.184336010837758,0.205125574558475,116604.608,109672,121965,418911.032,417827,420153,594886.386,594216,595628,0,500
6e+05,2e-04,1825,0.196599651998144,0.196368402097567,0.196830059370473,0.188179115513178,0.205186779196813,127586.206,122164,133205,456999.654,455729,458318,648964.584,648201,649774,0,500
650000,2e-04,1825,0.196911398773316,0.196689529056466,0.197145786637853,0.187507908861479,0.203612425719674,138437.98,131879,143130,495102.576,493833,496348,703046.996,702228,703782,0,500
7e+05,2e-04,1825,0.19679232215116,0.196576783415566,0.197002054526852,0.189121488165622,0.204366639141206,148995.412,143147,154680,533151.1,531886,534448,757120.046,756308,757738,0,500
750000,2e-04,1825,0.197227740662337,0.197041484589454,0.197418959334344,0.187539218091421,0.205019441063271,159993.096,152126,166411,571251.044,570015,572397,811209.922,810489,811899,0,500
8e+05,2e-04,1825,0.197128645455745,0.196919126879351,0.197344015679511,0.189558416759427,0.203612709081118,170573.206,163994,176193,609329.266,607615,610631,865288.652,864554,865950,0,500
850000,2e-04,1825,0.197510977488838,0.197306406095317,0.197713118056625,0.191076353544054,0.20421485149484,181586.232,175697,187768,647409.314,646001,648711,919372.95,918421,920268,0,500
9e+05,2e-04,1825,0.19773692411896,0.197542797055354,0.197932110347111,0.191629313126455,0.204740336023039,192488.886,186481,199206,685496.78,683989,687303,973459.386,972669,974727,0,500
950000,2e-04,1825,0.197904092380272,0.197732929364794,0.198081370051871,0.190790466317209,0.204230607929738,203353.666,196000,209888,723585.938,721896,725135,1027536.292,1026591,1028314,0,500
1e+06,2e-04,1825,0.198075031465489,0.197900196391677,0.19825325464854,0.192700082260405,0.203844105507641,214240.878,208488,220468,761666.998,760213,763442,1081614.906,1080862,1082623,0,500
1100000,2e-04,1825,0.198061147337062,0.197899320458643,0.19821808472386,0.191887887881159,0.203483486007227,235651.694,228351,242125,837848.408,836165,839549,1189792.662,1188977,1190676,0,500
1200000,2e-04,1825,0.198111533163603,0.19795298227416,0.198275943764729,0.192215919600469,0.203283317752436,257137.412,249404,263766,914005.826,912169,915946,1297942.57,1296993,1298931,0,500
1300000,2e-04,1825,0.19806978825403,0.19792394697684,0.198212808680366,0.192545417826942,0.203131036651614,278504.618,270772,285496,990158.38,988011,992049,1406093.424,1405082,1407624,0,500
1400000,2e-04,1825,0.198268905003374,0.198119272987664,0.198413047304537,0.193254849109455,0.203302300004687,300229.596,292526,307967,1066305.608,1064512,1068492,1514254.592,1513048,1515420,0,500
1500000,2e-04,1825,0.198309725333522,0.198159943880126,0.198461571989495,0.192868956394003,0.203294535897695,321741.36,312878,329834,1142469.258,1140745,1144224,1622418.488,1621321,1623448,0,500
1600000,2e-04,1825,0.198299212154872,0.198156188791459,0.198444048695727,0.193865730375705,0.202844295807688,343170.78,335543,351061,1218635.702,1216385,1220670,1730570.682,1729365,1731765,0,500
1700000,2e-04,1825,0.19833905856368,0.198198731730963,0.198469348531829,0.193472628027038,0.203325507139023,364690.82,355718,373854,1294776.072,1292016,1297390,1838724.072,1837588,1840350,0,500
1800000,2e-04,1825,0.198361944958918,0.198240679849069,0.198496562568386,0.194597020458736,0.203955717176035,386188.316,378974,396979,1370933.558,1368781,1373001,1946887.27,1945733,1948093,0,500
1900000,2e-04,1825,0.198415556078841,0.198286892548047,0.198553575433109,0.194350843382875,0.203978920067216,407751.55,399356,419029,1447110.084,1444920,1449104,2055038.354,2053890,2056426,0,500
2e+06,2e-04,1825,0.198377696680842,0.198228786643651,0.198515751785439,0.192725987232007,0.204745203924228,429127.148,417060,442921,1523261.184,1521123,1525413,2163182.45,2161887,2164478,0,500
2100000,2e-04,1825,0.198458100804201,0.19833493441327,0.198579296753376,0.193996502560562,0.202969078303286,450767.026,440639,460876,1599422.354,1597120,1602239,2271346.22,2270077,2272507,0,500
2200000,2e-04,1825,0.198530877699399,0.198410941079831,0.198647669603978,0.19491210989614,0.203828568042254,472406.552,463763,484974,1675591.586,1673468,1678607,2379511.766,2378332,2380880,0,500
2300000,2e-04,1825,0.198419213686574,0.198287313964971,0.198537365101952,0.194463032290605,0.203950517840757,493603.134,483860,507414,1751758.618,1749104,1754323,2487678.012,2486132,2489608,0,500
2400000,2e-04,1825,0.198504128591676,0.198394303288731,0.198615236767248,0.194240726757177,0.203147776055422,515284.134,504179,527357,1827918.512,1825714,1830600,2595835.804,2594302,2597290,0,500
2500000,2e-04,1825,0.19852973708301,0.198415015500126,0.198648117220175,0.194550783597615,0.203306576061493,536824.034,526041,549779,1904076.38,1901376,1906571,2703998.018,2702234,2705464,0,500
10000,0,365,0.0271917383749343,0.0242434696589488,0.0302978827308129,9.78952520802741e-05,0.105025962574704,277.081761006289,1,1072,10187.9905660377,10147,10228,10188.4842767296,10147,10229,278,318
20000,0,365,0.0324674073072979,0.0302513385352377,0.0348530610596613,4.89668005092547e-05,0.0760512241793828,661.519362186788,1,1550,20374.9498861048,20316,20434,20376.2528473804,20317,20437,278,439
30000,0,365,0.0332481424646936,0.031612894955782,0.0352107070892104,3.26786706316787e-05,0.064145759052697,1016.21106557377,1,1961,30562.6229508197,30489,30641,30564.4508196721,30490,30641,210,488
40000,0,365,0.041285163567062,0.039742447541391,0.0427322298927073,2.45302457930628e-05,0.0618460480424424,1682.44444444444,1,2518,40749.2101010101,40672,40846,40752.3272727273,40674,40847,108,495
50000,0,365,0.0410557693434245,0.0398357446868415,0.0423063573600684,1.96267001629016e-05,0.05671864566558,2091.40361445783,1,2888,50936.9176706827,50836,51028,50940.7530120482,50839,51033,79,498
60000,0,365,0.0442102659930909,0.0431825512555781,0.0450899050240009,3.27150194654366e-05,0.0560796560011772,2702.53413654618,2,3430,61123.9698795181,61019,61224,61128.9477911647,61022,61231,41,498
70000,0,365,0.0437916473451762,0.0429630228991115,0.0444989861561146,0.0021188819039066,0.055782198483128,3123.092,151,3979,71311.312,71199,71429,71317.154,71204,71434,21,500
80000,0,365,0.0460198494796228,0.0454745755569622,0.0465197296078969,0.00138745641176759,0.0574085205039192,3750.87,113,4680,81498.342,81382,81621,81505.246,81386,81626,10,500
90000,0,365,0.0449642933234728,0.0445526144865159,0.0453331893256271,3.26829427721672e-05,0.0534594282099109,4122.936,3,4901,91686.312,91561,91808,91694.014,91571,91816,4,500
1e+05,0,365,0.046056995617036,0.0457342620818458,0.0463738129648979,0.00367058915900325,0.0571299603563999,4692.338,374,5822,101872.222,101740,101999,101881.092,101754,102006,1,500
150000,0,365,0.0456024056347806,0.0453777893621873,0.045813673648526,0.0398523695472928,0.0527203877018463,6969.068,6090,8061,152808.678,152661,152965,152822.392,152669,152982,0,500
2e+05,0,365,0.0465849815044394,0.046383749172384,0.0467901754492375,0.0396020164239399,0.0540413280295859,9492.318,8068,11018,203744.26,203565,203923,203763.528,203581,203943,0,500
250000,0,365,0.0466038697311712,0.0464106865262369,0.0467859602111488,0.0398978990771647,0.0538277324120603,11870.198,10160,13711,254680.93,254487,254884,254704.178,254505,254904,0,500
3e+05,0,365,0.0467948625107812,0.0466073889474163,0.046961767938948,0.0412691768076318,0.0532007811809965,14302.616,12619,16263,305617.27,305391,305839,305645.268,305420,305866,0,500
350000,0,365,0.0468641810937684,0.0466838629578651,0.0470365450407912,0.0420229557650146,0.0521057929282592,16711.106,14989,18584,356553.754,356303,356788,356586.082,356337,356819,0,500
4e+05,0,365,0.0469536897744985,0.0467876493859037,0.0471068635850885,0.0423663934828483,0.0515726327054584,19134.882,17266,21011,407490.276,407229,407752,407527.094,407265,407786,0,500
450000,0,365,0.0470342885514699,0.0468949288091061,0.0471857819033629,0.0418258495569046,0.0525904876969008,21563.688,19181,24115,458425.742,458144,458711,458467.592,458185,458737,0,500
5e+05,0,365,0.0472279720385032,0.047083861021797,0.0473766497766507,0.0417965896684705,0.0524129428440176,24058.346,21286,26698,509361.466,509078,509657,509408.666,509119,509696,0,500
550000,0,365,0.0470964460720882,0.0469530399715078,0.0472431646314885,0.0420481029012352,0.0525418798507369,26390.494,23563,29442,560298.164,560003,560597,560350.12,560046,560639,0,500
6e+05,0,365,0.0471831307555175,0.0470430783543299,0.0473275773710118,0.0404166809802603,0.0518256175363978,28842.436,24707,31681,611230.47,610891,611520,611286.96,610969,611568,0,500
650000,0,365,0.0472636296897353,0.0471157275067722,0.0474013214035577,0.0414985138106861,0.0516586110519712,31299.094,27476,34212,662161.932,661754,662462,662223.482,661820,662523,0,500
7e+05,0,365,0.0471600583915744,0.0470325385753123,0.0472958394360183,0.0430983474620236,0.0525090427643159,33632.754,30738,37439,713095.652,712708,713397,713161.774,712777,713472,0,500
750000,0,365,0.0472346599388613,0.0471126199096917,0.0473640577095273,0.0426381443946564,0.0525541007717653,36092.024,32581,40163,764029.436,763663,764359,764100.452,763734,764438,0,500
8e+05,0,365,0.0473650637359601,0.0472360934257841,0.0475032470210348,0.0430029816316765,0.0515657842909889,38604.694,35047,42024,814970.04,814572,815337,815045.892,814646,815409,0,500
850000,0,365,0.0474023097747944,0.0472778137030968,0.047526034205121,0.0436630437669841,0.0514927398169799,41050.006,37807,44594,865911.38,865481,866279,865991.83,865568,866366,0,500
9e+05,0,365,0.047369331122168,0.0472542978451736,0.0474919801052157,0.0431171313280731,0.0522505329850982,43434.338,39525,47914,916843.848,916466,917262,916929.402,916557,917351,0,500
950000,0,365,0.0473677300095202,0.0472448649915837,0.0474858137628456,0.0430520712357981,0.0513702273950443,45845.744,41667,49729,967778.38,967245,968108,967868.69,967334,968210,0,500
1e+06,0,365,0.0473052953403646,0.0471849930053946,0.0474285853993,0.0435289522392571,0.0514431805914047,48195.36,44354,52417,1018720.504,1018324,1019148,1018815,1018425,1019248,0,500
1100000,0,365,0.0473406768317103,0.0472260793928637,0.0474450650185895,0.0440540622529627,0.0509312923694973,53054.582,49375,57076,1120593.648,1120147,1121015,1120697.442,1120249,1121104,0,500
1200000,0,365,0.0474289995412162,0.0473185349091526,0.047552237601301,0.0432286817963917,0.0519350768581206,57985.872,52843,63471,1222469.248,1221998,1222885,1222582.588,1222122,1223003,0,500
1300000,0,365,0.0475049995118935,0.0474032888572172,0.0476148338225499,0.0431446979614455,0.0506638761670495,62918.416,57148,67104,1324336.222,1323865,1324830,1324458.738,1323990,1324950,0,500
1400000,0,365,0.0474716908032644,0.0473755786764989,0.0475734341047388,0.0444266087200336,0.0504204567603305,67710.98,63379,71915,1426213.248,1425724,1426735,1426344.77,1425865,1426860,0,500
1500000,0,365,0.0474765628423159,0.0473758777521563,0.0475864902689309,0.0441802462447609,0.050813818123281,72554.844,67525,77652,1528084.234,1527568,1528505,1528224.732,1527692,1528642,0,500
1600000,0,365,0.0474508457249349,0.0473488976002196,0.0475505269504952,0.0435485474001426,0.0508313291449887,77350.074,70983,82851,1629959.818,1629350,1630478,1630109.444,1629480,1630613,0,500
1700000,0,365,0.0474256452924129,0.0473260836259154,0.0475204111599283,0.04391890526379,0.050775864258974,82140.56,76061,87944,1731827.64,1731328,1732294,1731986.08,1731475,1732433,0,500
1800000,0,365,0.047483290026762,0.0473909700066659,0.0475807241312348,0.0442254868331862,0.0506499178571876,87078.28,81098,92892,1833704.376,1833131,1834276,1833871.634,1833304,1834447,0,500
1900000,0,365,0.047489721255972,0.047397035647443,0.0475820373735853,0.0445925812657433,0.0504634360286771,91928.134,86320,97685,1935573.258,1935076,1936126,1935748.288,1935244,1936294,0,500
2e+06,0,365,0.0474346777794524,0.0473420063359046,0.0475220428157291,0.044319167900236,0.0509266461754098,96654.204,90298,103769,2037443.924,2036769,2038031,2037627.28,2036954,2038214,0,500
2100000,0,365,0.0474131864366317,0.0473181146888359,0.0475038111236724,0.043778114728659,0.0504690403460691,101441.02,93661,107988,2139320.608,2138656,2139875,2139510.924,2138847,2140061,0,500
2200000,0,365,0.0474616673637356,0.0473689643856646,0.0475560849173599,0.0445745971421038,0.0502273854951614,106380.14,99905,112566,2241191.93,2240384,2241872,2241390.868,2240589,2242077,0,500
2300000,0,365,0.0475171021627412,0.0474259649907518,0.047609750240936,0.0448028857397952,0.0503890094171345,111345.55,104978,118081,2343065.638,2342468,2343720,2343273.49,2342673,2343915,0,500
2400000,0,365,0.0475372370017139,0.0474526638960762,0.0476229728729446,0.0445769715093621,0.0502264452753162,116235.73,108996,122835,2444933.732,2444277,2445678,2445150.662,2444495,2445904,0,500
2500000,0,365,0.0474807076071124,0.0473959262211046,0.0475668274160787,0.0444046183441862,0.0505185085707352,120934.794,113082,128652,2546804.222,2546226,2547412,2547030.216,2546444,2547632,0,500
10000,3e-06,365,0.0283955088553459,0.0253265849985109,0.0312340680515602,9.78952520802741e-05,0.0942618930848455,289.314465408805,1,961,10176.6037735849,10138,10220,10188.3867924528,10147,10228,279,318
20000,3e-06,365,0.0320146981715275,0.0298701579599791,0.034366972964352,4.89668005092547e-05,0.0756756756756757,652.28701594533,1,1540,20352.6218678815,20292,20424,20376.0546697039,20316,20437,279,439
30000,3e-06,365,0.0347992802687053,0.0329683462376739,0.0366002470108426,3.26786706316787e-05,0.0634203809149814,1063.5881147541,1,1938,30529.0327868852,30454,30608,30564.131147541,30490,30641,199,488
40000,3e-06,365,0.0406667333970723,0.0390448392129993,0.0421455231580491,2.45302457930628e-05,0.0644718119817477,1657.23636363636,1,2628,40704.6383838384,40623,40802,40751.9434343434,40673,40846,118,495
50000,3e-06,365,0.0422431217265459,0.0409777314180667,0.043269331105237,1.96267001629016e-05,0.0574924506843406,2151.86345381526,1,2932,50880.8032128514,50781,50978,50940.3032128514,50836,51033,59,498
60000,3e-06,365,0.0447828149194098,0.0437910854882674,0.0456831116142301,3.27155546104395e-05,0.0600922231669828,2737.51606425703,2,3675,61056.8493975904,60959,61163,61128.3152610442,61020,61230,35,498
70000,3e-06,365,0.0445764082886858,0.0440190511936764,0.0450712078130545,0.00273484614737315,0.0569212862331543,3179.034,195,4059,71232.832,71117,71358,71316.452,71204,71434,10,500
80000,3e-06,365,0.0458657850472496,0.0452603579148906,0.0464743478713226,0.00120159886215944,0.0565475460498884,3738.254,98,4611,81408.714,81292,81536,81504.426,81386,81626,12,500
90000,3e-06,365,0.0444602593286327,0.04381207642836,0.0449979370191773,3.26829427721672e-05,0.0553600418387248,4076.69,3,5081,91585.454,91468,91714,91693.016,91571,91815,10,500
1e+05,3e-06,365,0.0462506329253479,0.0458958334759006,0.0465834100460053,0.0036234018735639,0.0557448187164358,4712.014,369,5678,101760.416,101637,101891,101880.022,101752,102005,2,500
150000,3e-06,365,0.045724272470509,0.0455083104491005,0.0459779964791128,0.0374334697720645,0.0537754741430086,6987.63,5725,8217,152641.104,152478,152800,152820.902,152665,152981,0,500
2e+05,3e-06,365,0.0466366580559187,0.0464393112337123,0.0468405606021608,0.0397144175906194,0.0541849679778176,9502.744,8088,11041,203520.8,203342,203708,203761.442,203577,203941,0,500
250000,3e-06,365,0.0465146262837396,0.0463336460170323,0.0467024434567822,0.0394215709749214,0.0527619548618336,11847.364,10043,13440,254401.892,254201,254613,254701.654,254505,254899,0,500
3e+05,3e-06,365,0.0467538926720059,0.0465656436215303,0.0469264754548607,0.040716122236688,0.0529960549816488,14289.968,12447,16201,305283.03,305059,305516,305642.174,305417,305864,0,500
350000,3e-06,365,0.046868178497783,0.0466983639614849,0.0470350553203523,0.0413803736876778,0.0519109137397389,16712.37,14761,18516,356163.112,355917,356420,356582.534,356332,356818,0,500
4e+05,3e-06,365,0.0470495396675675,0.0468739841981423,0.0472237488961306,0.0420237759320828,0.0535264159047677,19173.766,17127,21808,407043.246,406792,407311,407522.938,407265,407784,0,500
450000,3e-06,365,0.0469622800865374,0.0468184041923183,0.0471139812271491,0.0416871207807254,0.052367325929351,21530.462,19107,24010,457923.848,457644,458197,458463.022,458182,458732,0,500
5e+05,3e-06,365,0.0471787616230195,0.047038074951521,0.047327418642221,0.0420588997322739,0.0527704589094079,24033.028,21428,26878,508803.842,508496,509098,509403.46,509114,509691,0,500
550000,3e-06,365,0.0471123447133274,0.0469777188074871,0.0472660969412395,0.0419954531989993,0.0520706004536102,26399.142,23534,29180,559684.36,559364,559980,560344.364,560037,560633,0,500
6e+05,3e-06,365,0.0472044909886799,0.0470691798640402,0.0473325919721848,0.0429918773670563,0.0514981855544612,28855.2,26279,31476,610561.132,610199,610892,611280.926,610948,611613,0,500
650000,3e-06,365,0.0473352707183584,0.0471894058305285,0.047481838349781,0.0417960302982713,0.052152140361051,31346.196,27678,34534,661436.8,661142,661751,662216.716,661932,662545,0,500
7e+05,3e-06,365,0.0472252311977698,0.0470998082490908,0.0473494355323083,0.0419198294482314,0.0520074899537839,33678.936,29888,37079,712315.64,711925,712675,713155.53,712761,713479,0,500
750000,3e-06,365,0.0472476671570588,0.0471145902013737,0.0473809884894948,0.0431712666118826,0.0526140125154283,36101.654,32992,40198,763194.438,762762,763579,764093.912,763660,764479,0,500
8e+05,3e-06,365,0.0473332289095805,0.0472082882200846,0.047464012028579,0.0435734311638436,0.0513873757152813,38578.362,35513,41884,814077.2,813725,814406,815037.444,814690,815360,0,500
850000,3e-06,365,0.0474044348608743,0.0472817374582722,0.0475354321861754,0.0433003856723863,0.0520970563275391,41051.398,37499,45121,864962.152,864593,865412,865982.444,865608,866383,0,500
9e+05,3e-06,365,0.0473474582031757,0.0472249299949644,0.0474687927530364,0.0429728182338668,0.0516489520052081,43413.884,39405,47364,915841.372,915479,916326,916921.166,916554,917367,0,500
950000,3e-06,365,0.0473115489008332,0.0471980388224756,0.0474246676070296,0.0425498944723774,0.0514157973174367,45790.846,41188,49749,966718.514,966285,967196,967857.676,967468,968375,0,500
1e+06,3e-06,365,0.0473347994100484,0.047222515171654,0.0474619573709505,0.0438124700654046,0.0513342769697101,48224.896,44640,52298,1017605.348,1017183,1018000,1018804.61,1018362,1019185,0,500
1100000,3e-06,365,0.0473371453716732,0.0472142594323547,0.0474569372058339,0.0428962414254367,0.0522197475077365,53049.952,48070,58521,1119363.966,1118843,1119868,1120683.624,1120231,1121138,0,500
1200000,3e-06,365,0.0474777070184726,0.0473625200086434,0.0475807267910349,0.0437774825943569,0.0514754776827815,58044.87,53522,62935,1221131.462,1220662,1221566,1222570.76,1222125,1223011,0,500
1300000,3e-06,365,0.0473186987431328,0.047224679850084,0.0474241079319677,0.0433598135886673,0.0518192848497753,62670.988,57425,68632,1322886.06,1322311,1323327,1324444.712,1323900,1324887,0,500
1400000,3e-06,365,0.047496956851753,0.0473872744843899,0.0476113289364409,0.0440273267260092,0.0512236731299569,67746.308,62796,73053,1424651.698,1424089,1425109,1426329.504,1425744,1426779,0,500
1500000,3e-06,365,0.0474761952635131,0.0473700702137489,0.0475769981271303,0.0444211212328615,0.0512478596016454,72553.452,67888,78324,1526409.41,1525899,1526992,1528206.784,1527697,1528774,0,500
1600000,3e-06,365,0.0474723454783807,0.04736920173997,0.0475748890709348,0.0443297147897389,0.0504726268977151,77384.374,72271,82283,1628176.592,1627583,1628622,1630093.506,1629479,1630567,0,500
1700000,3e-06,365,0.0474654477344767,0.0473616502438379,0.0475682749488757,0.0439560058909754,0.0517399185433664,82208.694,76138,89599,1729933.37,1729259,1730425,1731969.274,1731359,1732454,0,500
1800000,3e-06,365,0.0474134851121001,0.0473166667785825,0.047510097595713,0.0440631022836004,0.0504671459921208,86949.338,80819,92541,1831697.648,1831198,1832248,1833852.36,1833360,1834364,0,500
1900000,3e-06,365,0.0474512616035581,0.0473634060646733,0.0475416472263563,0.044496677058661,0.0516411430555182,91852.83,86136,99963,1933456.914,1932969,1934073,1935730.222,1935187,1936324,0,500
2e+06,3e-06,365,0.0475232708072697,0.0474325420428668,0.0476184507180705,0.0441932198814768,0.0511038572551075,96833.696,90047,104126,2035213.86,2034703,2035762,2037605.826,2037134,2038116,0,500
2100000,3e-06,365,0.0474323601702844,0.047344454539168,0.047521345966075,0.0443823530648998,0.0506956921679009,101480.982,94956,108461,2136978.222,2136423,2137493,2139488.242,2138865,2140017,0,500
2200000,3e-06,365,0.0474275647683612,0.0473256888197111,0.047511936096267,0.0440799331585571,0.0503385615794841,106302.652,98815,112836,2238739.288,2238003,2239552,2241368.74,2240644,2242078,0,500
2300000,3e-06,365,0.0474592346047517,0.0473775078343187,0.0475498111372047,0.0438912227794546,0.0511282604075717,111208.764,102869,119811,2340500.08,2339905,2341297,2343248.03,2342616,2343919,0,500
2400000,3e-06,365,0.0474782624879466,0.047392744716029,0.0475683543712754,0.0448135142364255,0.0505592824698463,116090.358,109572,123654,2442259.022,2441612,2443021,2445126.414,2444597,2445836,0,500
2500000,3e-06,365,0.0474667902172424,0.0473817694759101,0.0475562099998954,0.0441265740279016,0.050043337761322,120898.178,112382,127482,2544018.322,2543407,2544636,2547005.558,2546371,2547568,0,500
