"initpop","omega","ts","mean.propinf.boot","lowCI95.propinf.boot","highCI95.propinf.boot","min.propinf","max.propinf","mean.inf","min.inf","max.inf","mean.curpop","min.curpop","max.curpop","mean.alltimepop","min.alltimepop","max.alltimepop","zeroevent","N"
9e+05,4400,1825,0.481744782367977,0.481569099993262,0.48192382407438,0.475830834088683,0.487956033439242,475108.196,469311,481313,950341.574,949371,951713,986223.906,985336,987340,0,500
950000,4400,1825,0.481730801441638,0.481556638991748,0.481924673485969,0.475682133349723,0.488449523538642,501480.93,495324,508392,1003123.012,1001944,1004157,1040998.246,1040005,1041883,0,500
1e+06,4400,1825,0.48190246905663,0.48172916792434,0.482087286300978,0.475919224655969,0.488402241731494,528069.34,521597,535346,1055932.25,1054958,1057199,1095801.412,1094933,1096818,0,500
1100000,4400,1825,0.481771189737466,0.481611488621628,0.481939582535877,0.476405592097352,0.488715081203802,580709.172,574437,589169,1161506.252,1160367,1162648,1205362.926,1204413,1206288,0,500
1200000,4400,1825,0.482028900110368,0.481860571175212,0.482206128747607,0.477657755939027,0.48921856972164,633843.192,627873,643228,1267104.4,1265307,1268285,1314948.552,1313600,1315875,0,500
1300000,4400,1825,0.482163333243554,0.481989845153643,0.482327928166071,0.477816540724146,0.488167905430314,686849.862,680567,695416,1372683.974,1371400,1373957,1424517.11,1423393,1425675,0,500
1400000,4400,1825,0.48231953441977,0.482147766555291,0.482480487896124,0.478008346359582,0.488084212723217,739922.714,733270,748360,1478272.42,1477095,1479478,1534092.38,1532920,1535048,0,500
1500000,4400,1825,0.482220417257643,0.482068082503808,0.482381510812211,0.476729310953418,0.488433876841351,792614.132,783333,802871,1583863.534,1582499,1585150,1643676.122,1642572,1645219,0,500
1600000,4400,1825,0.482462502310381,0.482304459656005,0.482634411286399,0.478218772519098,0.488231167986861,845873.804,838164,856128,1689441.054,1688057,1690872,1753242.524,1752109,1754414,0,500
1700000,4400,1825,0.482344093797618,0.482190680537472,0.48250936136409,0.477606902007254,0.488432910559047,898521.436,889945,909571,1795041.152,1793731,1796481,1862822.484,1861735,1864142,0,500
1800000,4400,1825,0.482510527458893,0.48235811930214,0.482665030937527,0.477742451958943,0.488258138953678,951702.204,942014,963159,1900619.734,1898700,1902070,1972396.712,1970911,1973755,0,500
1900000,4400,1825,0.482483622066799,0.482336554207654,0.482614260812067,0.478225410979728,0.487978024754332,1004525.802,995683,1015960,2006227.998,2004510,2007826,2081989.462,2080593,2083452,0,500
2e+06,4400,1825,0.482437380162481,0.482274074512865,0.482576571738593,0.477904411177508,0.487453383386256,1057296.868,1047263,1068342,2111821.148,2110082,2113625,2191573.306,2190241,2193006,0,500
2100000,4400,1825,0.482434807817089,0.482288716487077,0.482583216885321,0.477407372006534,0.488272676511677,1110155.652,1098839,1123679,2217404.718,2215854,2219122,2301151.658,2299703,2302629,0,500
2200000,4400,1825,0.482409992685926,0.482275152631924,0.482545663038831,0.47900469917444,0.487910590566634,1162959.976,1154808,1175926,2322988.076,2321069,2324580,2410729.55,2409019,2412218,0,500
2300000,4400,1825,0.482594319705824,0.482456663321043,0.482731315983577,0.478184463619479,0.487976262418048,1216284.21,1205164,1229809,2428567.58,2426896,2430759,2520303.818,2518917,2522438,0,500
2400000,4400,1825,0.482547688372361,0.482387986121882,0.482694978390882,0.477978409347965,0.487336242217038,1269046.14,1257229,1281745,2534165.266,2532215,2535834,2629887.576,2628540,2631287,0,500
2500000,4400,1825,0.482408919485825,0.48226790185561,0.482545724254701,0.478605151115321,0.487211850754587,1321543.112,1311280,1334372,2639759.002,2638099,2641796,2739466.716,2738088,2741352,0,500
10000,44000,1825,0.0307904461882846,0.0270514938164761,0.0345273320959082,9.03342366757001e-05,0.179021867344161,337.35534591195,1,1973,10567.9779874214,10448,10690,10957.5566037736,10873,11070,318,318
20000,44000,1825,0.0432142885160222,0.0384693587102573,0.0481939700057962,4.53206435531385e-05,0.251042573667568,947.291571753986,1,5478,21138.3120728929,20958,21315,21916.6036446469,21767,22074,439,439
30000,44000,1825,0.0721159782229035,0.0663372907817904,0.0779580435544675,3.03573054855651e-05,0.232562385879489,2370.54918032787,1,7642,31703.1516393443,31460,31898,32873.4795081967,32699,33053,470,488
40000,44000,1825,0.114882563803602,0.107655740777019,0.121672032085675,2.28195883346264e-05,0.2411213247873,5035.39191919192,1,10571,42267.8444444444,42041,42507,43830.5353535354,43617,44037,431,495
50000,44000,1825,0.145381329473338,0.139453116523654,0.151404453125475,1.82238988209137e-05,0.229190214022678,7965.44578313253,1,12572,52833.1084337349,52583,53079,54790.843373494,54556,55026,338,498
60000,44000,1825,0.177965946294849,0.172967050982337,0.183305972697146,3.04316732855556e-05,0.23677218553101,11700.6265060241,2,15595,63396.156626506,63120,63700,65748.7068273092,65517,66011,222,498
70000,44000,1825,0.190770690183469,0.186607651589943,0.194983733457307,0.00280338492430861,0.23114634400751,14633.556,215,17757,73958.866,73654,74238,76706.948,76437,76963,142,500
80000,44000,1825,0.205485598726626,0.202076986218929,0.208709101353781,0.00193813915839157,0.238658281879501,18013.888,170,20911,84523.028,84206,84856,87665.166,87394,87954,78,500
90000,44000,1825,0.207054860412573,0.203676278404095,0.210137661736235,3.03637578186676e-05,0.236216320363441,20420.482,3,23294,95089.226,94740,95444,98623.624,98300,98941,49,500
1e+05,44000,1825,0.214906101753951,0.213292220226296,0.216245897845673,0.00397773925736703,0.2328390140433,23549.726,436,25467,105652.218,105292,106036,109581.16,109260,109900,26,500
150000,44000,1825,0.220390104807096,0.219971009145452,0.220783386757563,0.207856969107273,0.234096150218744,36226.076,34174,38473,158474.746,158064,158944,164372.664,163994,164796,1,500
2e+05,44000,1825,0.223267995075315,0.2229286291768,0.223621144169565,0.21291096077752,0.236484974169,48932.338,46663,51772,211295.402,210803,211810,219164.29,218717,219633,0,500
250000,44000,1825,0.224349113650964,0.224011216186198,0.22470593448118,0.213100213530925,0.236110452238201,61461.694,58382,64703,264119.916,263589,264693,273955.364,273456,274467,0,500
3e+05,44000,1825,0.225882467739538,0.225561509936664,0.226193960073888,0.216631328541139,0.235962127845884,74258.31,71213,77607,316942.534,316310,317567,328747.628,328198,329299,0,500
350000,44000,1825,0.226443542553416,0.226144123519498,0.22676393720236,0.214917733280166,0.238473668434702,86849.948,82462,91494,369765.91,369103,370435,383539.126,382954,384170,0,500
4e+05,44000,1825,0.227242667264867,0.226962025451252,0.227519840525304,0.217558574953592,0.237517416894901,99607.302,95399,104154,422586.83,421884,423316,438330.074,437678,438999,0,500
450000,44000,1825,0.227763050725533,0.227484415388888,0.228048461847092,0.217695638424676,0.236779460309993,112314.988,107391,116773,475412.424,474676,476171,493122.07,492454,493820,0,500
5e+05,44000,1825,0.228238813497093,0.227941762139076,0.228515885121964,0.218262850929762,0.237392376169824,125055.096,119641,130002,528234.01,527448,529040,547913.348,547215,548639,0,500
550000,44000,1825,0.228777720457157,0.228530517099077,0.229037034520406,0.219376078015125,0.236722669002309,137885.51,132275,142704,581058.036,580239,581899,602705.402,601955,603493,0,500
6e+05,44000,1825,0.228797536610363,0.228527900516486,0.229058582111989,0.220832522323058,0.237741596334993,150432.748,145223,156254,633876.58,633026,634743,657492.652,656660,658201,0,500
650000,44000,1825,0.229099880092352,0.228827143069742,0.229361109975207,0.218009392124719,0.236589732967272,163183.652,155195,168472,686696.906,685645,687709,712281.824,711485,713153,0,500
7e+05,44000,1825,0.229278965667227,0.229048846496683,0.22949574134736,0.220259734842609,0.238244706398263,175875.384,168976,182545,739527.004,738356,740636,767080.432,766020,768035,0,500
750000,44000,1825,0.229827174996845,0.229599585463846,0.230056281624617,0.220915628666436,0.236077287446142,188887.112,181702,194073,792341.218,791404,793404,821866.164,820962,822668,0,500
8e+05,44000,1825,0.229818408384656,0.229598988909804,0.230035346998951,0.221772487888528,0.23600277987308,201474.512,194508,206809,845175.342,843983,845976,876668.27,875886,877431,0,500
850000,44000,1825,0.229788787661474,0.229575487174583,0.230002180014854,0.22215267205078,0.237398971107911,214038.372,206909,221088,897996.686,896936,899131,931457.14,930498,932373,0,500
9e+05,44000,1825,0.229817710766859,0.229602033532657,0.230031650261308,0.222529038802942,0.236167980813324,226658.844,219358,232824,950825.506,949360,952331,986254.984,985057,987495,0,500
950000,44000,1825,0.229998818774459,0.22979311449866,0.230202316649146,0.221800610962747,0.23698233948921,239436.112,230890,246637,1003632.762,1002708,1004746,1041031.866,1040120,1042006,0,500
1e+06,44000,1825,0.230235606479563,0.230053118619431,0.230414779991612,0.223148823636695,0.236918808917604,252299.69,244705,259618,1056465.552,1055438,1057731,1095832.976,1094838,1096793,0,500
