"initpop","xi","ts","mean.propinf.boot","lowCI95.propinf.boot","highCI95.propinf.boot","min.propinf","max.propinf","mean.inf","min.inf","max.inf","mean.curpop","min.curpop","max.curpop","mean.alltimepop","min.alltimepop","max.alltimepop","zeroevent","N"
30000,1e-05,1825,0.230002349513592,0.22201809780375,0.237426296758048,3.02773404384159e-05,0.326639120131251,7561.15983606557,1,10751,31692.368852459,31457,31899,32872.8954918033,32699,33052,319,488
40000,1e-05,1825,0.316181864469105,0.311423850697527,0.320492115947105,2.28440890919475e-05,0.36046962270603,13858.3353535354,1,15812,42250.6929292929,42011,42486,43829.7090909091,43614,44033,112,495
50000,1e-05,1825,0.343024080259952,0.341539762878143,0.344422566233179,0.182923938216897,0.370855228225644,18794.2530120482,10031,20255,52813.7228915663,52565,53049,54789.8995983936,54553,55020,21,498
60000,1e-05,1825,0.380876128018841,0.379836460786158,0.381833078355083,0.25583696082311,0.402264219848443,25041.6827309237,16809,26436,63369.843373494,63088,63658,65747.4939759036,65514,66010,6,498
70000,1e-05,1825,0.398685147740079,0.397960429344298,0.399425192311955,0.326600028670846,0.420184035505577,30581.328,25061,32284,73929.124,73606,74214,76705.4,76430,76961,1,500
80000,1e-05,1825,0.430213607677048,0.429569289720149,0.430905161848375,0.404922108432361,0.451279477028738,37713.71,35506,39576,84482.328,84188,84806,87662.888,87390,87954,0,500
90000,1e-05,1825,0.451546516483613,0.450868893093245,0.452209407487343,0.428218448420775,0.47682004796553,44531.716,42287,46921,95037.53,94704,95347,98620.442,98298,98934,0,500
1e+05,1e-05,1825,0.478247027721365,0.477611890651576,0.478911789451078,0.453454771571747,0.501498346337274,52405.064,49588,54891,105588.97,105258,105929,109577.42,109257,109895,0,500
150000,1e-05,1825,0.628959412188543,0.628424755741826,0.629564582707831,0.609692015764122,0.650900531012208,103377.1,100248,107010,158336.332,157920,158718,164362.162,163978,164783,0,500
2e+05,1e-05,1825,0.749884092262223,0.749504836827353,0.750238510798155,0.734960826926238,0.762567410962779,164332.724,160977,167138,211063.794,210537,211523,219144.27,218678,219607,0,500
250000,1e-05,1825,0.831735300662616,0.831250780784547,0.832220596448912,0.813832156496214,0.851275812179403,227833.92,222907,233001,263786.912,263225,264311,273926.172,273418,274448,1,500
3e+05,1e-05,1825,0.881847873582552,0.881602066947519,0.882035924211442,0.842132324083567,0.886368616470875,289870.002,276803,291567,316507.128,315841,317086,328707.508,328144,329270,1,500
350000,1e-05,1825,0.899851123158172,0.89941900792802,0.900108647967503,0.806171018058973,0.903101371635138,345083.522,309273,346284,369241.236,368570,369909,383489.622,382889,384129,1,500
4e+05,1e-05,1825,0.911319580383828,0.911240987337413,0.91139531203665,0.908989681876885,0.913844939596336,399405.35,398262,400719,421976.546,421228,422659,438271.448,437605,438958,0,500
450000,1e-05,1825,0.918375379344753,0.917432046987765,0.919179697700312,0.827078019763439,0.92249920880298,452809.406,407943,454749,474717.836,473896,475467,493054.878,492365,493757,7,500
5e+05,1e-05,1825,0.907727904155608,0.904439073876868,0.910499946572081,0.847103378509161,0.928722184489772,497288.546,463906,508838,527477.752,526605,528371,547838.952,547111,548590,121,500
550000,1e-05,1825,0.881287856950629,0.878836923303044,0.883995988967592,0.862515812737398,0.933974647962025,531084.916,520095,563508,580257.396,579454,581142,602623.088,601869,603424,375,500
6e+05,1e-05,1825,0.876508345980842,0.875999472107951,0.877220299743753,0.874161265074432,0.937957386376595,576221.598,575104,616873,633019.284,632242,633926,657405.654,656665,658314,494,500
650000,1e-05,1825,0.884411831302815,0.884370960904462,0.884452411005068,0.883058165902611,0.885718862500105,629863.328,629193,630589,685753.726,684940,686831,712183.382,711519,713081,500,500
7e+05,1e-05,1825,0.890977154650579,0.890938624356703,0.891015261845701,0.88949169670577,0.892753657237728,683354.05,682764,683985,738499.97,737372,739527,766971.564,766056,767946,500,500
750000,1e-05,1825,0.895985910403832,0.895957195771828,0.896016086619994,0.894853631371862,0.896948916450135,736277.048,735715,736881,791236.222,790272,792070,821750.78,820981,822570,500,500
8e+05,1e-05,1825,0.899835444664347,0.899805209619285,0.89986746999539,0.898889365077918,0.90100264647521,788746.702,788226,789206,843991.02,842986,844974,876545.596,875636,877414,500,500
850000,1e-05,1825,0.902816722200793,0.90278676336279,0.902845095214868,0.901718373043244,0.903708598597792,840817.802,840472,841321,896733.042,895587,897727,931327.338,930428,932268,500,500
9e+05,1e-05,1825,0.905133602527255,0.905108113308223,0.905160656676566,0.904190567272565,0.90587487936775,892560.692,892247,892846,949475.382,948506,950453,986109.424,985365,987074,500,500
950000,1e-05,1825,0.906937581635621,0.906911857316538,0.906961702164855,0.906185618475446,0.907743858468343,944010.682,943752,944316,1002207.404,1001087,1003286,1040877.328,1039957,1041773,500,500
1e+06,1e-05,1825,0.908327350708434,0.908302968392036,0.90835242412473,0.907573953057432,0.909165480690357,995229.316,994955,995499,1054964.888,1053913,1056000,1095672.614,1094737,1096590,500,500
1100000,1e-05,1825,0.91027229879311,0.910250476293161,0.910296537846036,0.909424978260635,0.910937188600279,1097083.906,1096803,1097305,1160438.958,1159247,1161657,1205226.172,1204240,1206337,500,500
1200000,1e-05,1825,0.911448654864666,0.911427873029256,0.91146929123334,0.910773846571233,0.912147597881021,1198367.148,1198152,1198581,1265933.73,1264781,1267074,1314794.004,1313788,1315881,500,500
1300000,1e-05,1825,0.912170254910636,0.912150867032936,0.912192360028584,0.911484639818618,0.912872195644277,1299251.766,1299072,1299406,1371420.852,1370265,1372813,1424352.364,1423267,1425504,500,500
1400000,1e-05,1825,0.912610870133484,0.912591748836707,0.912631177287521,0.911956032415409,0.913426540389507,1399864.778,1399693,1400025,1476905.708,1475245,1478022,1533912.114,1532502,1534949,500,500
1500000,1e-05,1825,0.912869570310756,0.912851702160701,0.912888685855935,0.912292926860709,0.913532108695255,1500289.906,1500117,1500442,1582388.966,1581034,1583909,1643487.79,1642376,1644588,500,500
1600000,1e-05,1825,0.913031338427022,0.913011567751396,0.913051423775278,0.912313981564025,0.913676354403094,1600588.548,1600446,1600748,1687875.282,1686132,1689341,1753048.96,1751768,1754396,500,500
1700000,1e-05,1825,0.913128839731147,0.913111277932179,0.913145348098028,0.91256467336163,0.913668032896963,1700806.35,1700658,1700935,1793366.154,1792105,1794792,1862613.856,1861570,1863789,500,500
1800000,1e-05,1825,0.91319423628288,0.913175027437338,0.913213337174932,0.912536552467073,0.913800705579231,1800972.976,1800838,1801152,1898855.52,1897342,1900113,1972168.686,1970863,1973533,500,500
1900000,1e-05,1825,0.913225215439742,0.913208610719452,0.913242234301622,0.912626751648618,0.913980955274654,1901103.688,1900969,1901267,2004356.242,2002979,2006019,2081746.912,2080051,2083109,500,500
2e+06,1e-05,1825,0.913245915444479,0.913229556865271,0.913262162916651,0.912724673864014,0.913957363903862,2001216.08,2001063,2001373,2109859.032,2108066,2111288,2191322.326,2189647,2192567,500,500
2100000,1e-05,1825,0.913261397684616,0.913242987458319,0.913278836326088,0.912735258958606,0.913853052011734,2101312.366,2101164,2101454,2215354.798,2213920,2217249,2300888.294,2299385,2302180,500,500
2200000,1e-05,1825,0.913268962411836,0.913253157330155,0.913284309846392,0.912745981741938,0.913771626929525,2201395.86,2201230,2201604,2320866.126,2319297,2322366,2410457.416,2409189,2411866,500,500
2300000,1e-05,1825,0.913275227329299,0.913260234712804,0.913291138078175,0.912714779630527,0.913806671812513,2301471.626,2301315,2301619,2426354.61,2424747,2428186,2520019.858,2518524,2521538,500,500
2400000,1e-05,1825,0.91327679107159,0.913261506718601,0.913291382139804,0.912823750448037,0.913841710631708,2401541.546,2401355,2401737,2531847.534,2530338,2533704,2629587.932,2628035,2630923,500,500
2500000,1e-05,1825,0.913279344692,0.913264936047858,0.913295256521134,0.912900628861043,0.913749832435822,2501612.048,2501438,2501799,2637341.892,2635511,2639141,2739153.298,2737753,2740289,500,500
10000,0.001,1825,0.908556426770047,0.908265808012819,0.908855579400514,0.901246837730394,0.917195694176097,9954.11320754717,9929,9987,10549.4968553459,10428,10660,10956.0597484277,10869,11068,318,318
20000,0.001,1825,0.913248522174535,0.913057015018228,0.913441904590353,0.907022077156716,0.919093999816227,20011.8883826879,19999,20026,21099.5102505695,20920,21253,21912.9612756264,21766,22068,439,439
30000,0.001,1825,0.913318375902296,0.913185146488144,0.913454126993615,0.908419810607207,0.918060865575776,30019.2684426229,30003,30041,31648.0983606557,31445,31836,32868.4467213115,32695,33053,488,488
40000,0.001,1825,0.913341904003675,0.913224496171547,0.913476693741824,0.909285000454256,0.917790313703908,40026.1454545455,40007,40050,42197.1292929293,41960,42443,43823.9333333333,43608,44028,495,495
50000,0.001,1825,0.913304198542121,0.913204850487528,0.913405552042962,0.909570117240753,0.917273243981592,50033.0502008032,50007,50051,52748.078313253,52473,53011,54782.5562248996,54541,55016,498,498
60000,0.001,1825,0.913322655161311,0.913234784033541,0.913414879896589,0.909718960684797,0.916606867490114,60040.7429718876,60014,60065,63297.234939759,63032,63599,65738.9036144578,65497,66005,498,498
70000,0.001,1825,0.913332995772051,0.913248807574556,0.913422589562669,0.910068997778038,0.916650308193632,70048.54,70022,70080,73847.94,73504,74161,76695.608,76413,76959,500,500
80000,0.001,1825,0.913343683588854,0.91326532726587,0.913428318333837,0.910430955061931,0.916102082856489,80056.616,80029,80086,84396.51,84095,84738,87652.33,87380,87939,500,500
90000,0.001,1825,0.913356535256024,0.913280897035689,0.913436270496853,0.910336113217084,0.916387687611295,90064.946,90031,90098,94946.086,94539,95318,98608.846,98275,98932,500,500
1e+05,0.001,1825,0.913367797948273,0.913296521293384,0.91344459395723,0.91059906995368,0.916098320135488,100073.208,100042,100107,105495.188,105091,105858,109565.168,109235,109887,500,500
150000,0.001,1825,0.913408589848522,0.913349686226345,0.913469510694878,0.910969503868912,0.915566236253515,150117.278,150076,150161,158242.318,157760,158704,164348.536,163951,164775,500,500
2e+05,0.001,1825,0.915799331444651,0.914684458497085,0.917005032429545,0.911443533697632,0.998007248860795,200681.226,200114,218782,210989.558,210431,211539,219132.438,218669,219605,486,500
250000,0.001,1825,0.922285131761396,0.920079735292846,0.92467330356535,0.911787318857743,0.998408300203343,252628.77,250164,273953,263732.48,263132,264290,273915.876,273400,274440,448,500
3e+05,0.001,1825,0.936756546361379,0.933539605670942,0.940134724764456,0.911886191899312,0.998614030278108,307911.182,300202,328568,316470.346,315817,317169,328699.06,328137,329271,363,500
350000,0.001,1825,0.955051340469969,0.951507201228052,0.958935847418944,0.912056357241598,0.998910303368414,366245.766,350256,383564,369199.754,368463,370007,383482.09,382873,384128,256,500
4e+05,0.001,1825,0.973015266786454,0.969451919874254,0.97643317385915,0.912493845620817,0.998970460667489,426438.514,400310,438403,421923.952,421156,422626,438264.606,437602,438948,151,500
450000,0.001,1825,0.985550757348252,0.982814038366758,0.988110365825536,0.91228073728575,0.999119791508219,485922.57,450361,493213,474648.424,473792,475564,493047.212,492361,493757,78,500
5e+05,0.001,1825,0.993845880919804,0.992141935925446,0.995556315784469,0.913161351528862,0.999132499315131,544458.794,500410,548050,527375.866,526467,528184,547830.034,547099,548583,30,500
550000,0.001,1825,0.996995659482135,0.99579628646663,0.998020342067801,0.913225354332015,0.999215146185245,600802.454,550483,602829,580104.538,579113,580956,602612.736,601845,603413,12,500
6e+05,0.001,1825,0.998773519508479,0.998259162034618,0.999115774457846,0.913706564587711,0.999284722898607,656589.33,600551,657612,632835.796,631987,633764,657395.494,656714,658164,2,500
650000,0.001,1825,0.998996212908961,0.998652279437517,0.999170048745593,0.913855678906917,0.999332924193505,711456.888,650636,712348,685561.936,684442,686577,712171.722,711227,712974,1,500
7e+05,0.001,1825,0.999216635997289,0.999212589879351,0.999220731016855,0.999035039791569,0.999343797780132,766360.948,765494,767378,738301.74,737157,739308,766961.758,766057,767960,0,500
750000,0.001,1825,0.999256441060542,0.999252656475227,0.999260343068885,0.999079086629116,0.999395276341677,821129.044,820285,821945,791030.924,789980,791879,821740.056,820986,822543,0,500
8e+05,0.001,1825,0.999291514230995,0.999287848260153,0.999295270392508,0.999116957496449,0.999420361292914,875912.074,874927,876873,843772.24,842645,844643,876533.086,875624,877432,0,500
850000,0.001,1825,0.999325226056376,0.999321764944044,0.999328394453336,0.999216559149248,0.999436558650488,930688.73,929595,931742,896506.332,895117,897543,931317.158,930232,932305,0,500
9e+05,0.001,1825,0.999354611760765,0.999351292782108,0.999357810366326,0.99920932109065,0.999454306817513,985460.894,984601,986325,949236.336,948071,950234,986097.31,985230,986976,0,500
950000,0.001,1825,0.999380722362337,0.999377810006385,0.999383949405506,0.999267733674161,0.999473725657411,1040220.02,1039357,1041417,1001957.43,1000942,1003339,1040864.604,1040009,1042060,0,500
