"initpop","delta_C","ts","mean.propinf.boot","lowCI95.propinf.boot","highCI95.propinf.boot","min.propinf","max.propinf","mean.inf","min.inf","max.inf","mean.curpop","min.curpop","max.curpop","mean.alltimepop","min.alltimepop","max.alltimepop","zeroevent","N"
30000,60,1825,0.0384291152865778,0.0354632069343261,0.0415997959374233,3.03573054855651e-05,0.174207869610168,1263.47336065574,1,5729,31705.7602459016,31478,31896,32873.6270491803,32699,33053,488,488
40000,60,1825,0.0614533100208289,0.0574101603057725,0.065535645251602,2.2806577416927e-05,0.185961547243915,2693.36363636364,1,8144,42272.3494949495,42044,42502,43830.7535353535,43616,44037,487,495
50000,60,1825,0.0829225349613126,0.0783606288891467,0.0870457369011884,1.82238988209137e-05,0.183654091954863,4543.63855421687,1,10058,52838.483935743,52576,53082,54791.1325301205,54556,55026,456,498
60000,60,1825,0.100254117504192,0.0955759311841212,0.105036395262629,3.04316732855556e-05,0.181204474109293,6591.39558232932,2,11891,63405.2309236948,63128,63698,65749.0923694779,65517,66011,413,498
70000,60,1825,0.123341175348885,0.118470332101454,0.127822543015281,0.00181239731921663,0.182064792112265,9461.384,139,13960,73969.596,73669,74235,76707.402,76431,76966,297,500
80000,60,1825,0.140829016574934,0.137133254673941,0.144481014077012,0.00167821629582273,0.18763557483731,12346.036,147,16435,84534.018,84219,84863,87665.698,87394,87954,212,500
90000,60,1825,0.142908292120387,0.139319256963349,0.146203446193487,3.03637578186676e-05,0.187889346960688,14094.154,3,18549,95100.796,94747,95433,98624.076,98300,98941,182,500
1e+05,60,1825,0.155425243993548,0.152907107954391,0.158062249308461,0.00328395241917828,0.179770974953237,17031.544,360,19702,105663.8,105303,106050,109581.656,109261,109901,106,500
150000,60,1825,0.167303587693208,0.16647200585386,0.168013504212936,0.033063986175676,0.184615384615385,27500.238,5434,30312,158491.384,158045,158945,164373.5,163995,164797,7,500
2e+05,60,1825,0.169524481079152,0.169176609731906,0.169857554260196,0.153306988162926,0.180633937866418,37153.934,33596,39587,211318.554,210818,211852,219165.31,218719,219633,1,500
250000,60,1825,0.169984952715612,0.169656622963296,0.170317749444394,0.159405897214961,0.184357113094585,46568.552,43660,50439,264149.124,263608,264745,273956.684,273459,274468,0,500
3e+05,60,1825,0.170636887722816,0.170362204365169,0.170940728804554,0.16070577014783,0.180909511743495,56096.746,52909,59402,316978.66,316380,317639,328749.35,328199,329302,0,500
350000,60,1825,0.171187035936045,0.170894755029478,0.171508081318967,0.16154812609804,0.182686057530406,65657.218,61976,69981,369806.476,369149,370485,383540.988,382961,384170,0,500
4e+05,60,1825,0.171966994076531,0.171665650913842,0.172250111875424,0.161333229904359,0.183268676833816,75378.712,70713,80358,422635.374,421922,423354,438332.314,437682,439000,0,500
450000,60,1825,0.172144929872502,0.171852798742004,0.172453523532902,0.162419316571053,0.181391758217266,84888.862,80094,89523,475462.406,474710,476195,493124.378,492455,493821,0,500
5e+05,60,1825,0.172664285738583,0.172408143186399,0.172913612482648,0.162072314494664,0.182783369819044,94605.514,88779,100111,528289.858,527480,529090,547916.054,547217,548641,0,500
550000,60,1825,0.17281343143029,0.17253924926873,0.173096134404229,0.164032430727866,0.182082996032009,104156.09,98832,109764,581119.206,580289,581952,602708.242,601962,603492,0,500
6e+05,60,1825,0.173106351617222,0.172862972746987,0.173347527447876,0.165163150858076,0.181684166968396,113816.804,108588,119425,633943.13,633045,635068,657496.072,656796,658330,0,500
650000,60,1825,0.173272479455006,0.172991986863363,0.173548718619018,0.165078995140813,0.182059507623852,123419.262,117579,129622,686767.798,685866,687706,712284.504,711520,713181,0,500
7e+05,60,1825,0.173509842835785,0.173268365537159,0.173745709197226,0.165215271458704,0.181374824613106,133096.812,126733,139092,739601.796,738496,740651,767084.964,766045,768006,0,500
750000,60,1825,0.173473322325355,0.173241705770811,0.173729534716113,0.164936773405279,0.18377702540653,142572.486,135533,150955,792422.72,791499,793338,821869.716,820953,822700,0,500
8e+05,60,1825,0.173543603822746,0.173336952786047,0.173759125747936,0.16601204444054,0.180433309992952,152140.69,145502,158218,845259.902,843981,846211,876670.788,875847,877531,0,500
850000,60,1825,0.17347409395805,0.173229989540164,0.173712183968282,0.166037634524091,0.181950985990477,161584.45,154591,169515,898086.4,896811,899269,931461.736,930457,932442,0,500
9e+05,60,1825,0.173846897858234,0.173633986419194,0.174082210197491,0.167209013294082,0.181802234083977,171458.288,164944,179289,950918.966,949615,952387,986260.108,985254,987462,0,500
950000,60,1825,0.173925747880733,0.173697751518289,0.174151910051264,0.164978810933577,0.181144837448536,181063.102,171721,188487,1003729.824,1002786,1004772,1041036.656,1040122,1042094,0,500
1e+06,60,1825,0.174088966801548,0.173882149555971,0.174295067771237,0.167222395142571,0.181929876287173,190773.178,183202,199308,1056564.762,1055491,1057612,1095837.448,1094703,1096760,0,500
1100000,60,1825,0.174044560195809,0.173839366041284,0.174269472139458,0.1666767611985,0.182850603557445,209793.726,200891,220339,1162204.518,1161039,1163258,1205402.632,1204419,1206260,0,500
1200000,60,1825,0.174216971282477,0.174012335040451,0.174425999868151,0.166982070652521,0.179949068937907,229093.73,219534,236653,1267863.06,1266337,1269286,1314990.972,1313934,1316143,0,500
